code,name,manufacturer,itemType,ean,defaultCategory,categoryText,categoryText2,price,standardPrice,purchasePrice,currency,percentVat,maxDiscount,applyDiscountCoupon,applyLoyaltyDiscount,applyQuantityDiscount,applyVolumeDiscount,relativeMargin,absoluteMargin,variant_Sila_vrec____ok_v_boxe_,stock,availabilityOutOfStock,availabilityInStock,productVisibility
384/JE,MYSTERY BOX BLUE,,product,,Mystery box,Mystery box,,37,37,24,EUR,23,,0,1,1,1,3514,1057,Je mi to jedno,4,Vypredané,Skladom,visible
384/NAJ,MYSTERY BOX BLUE,,product,,Mystery box,Mystery box,,37,37,24,EUR,23,,0,1,1,1,3514,1057,Najsilnejšie,8,Vypredané,Skladom,visible
384/SLA,MYSTERY BOX BLUE,,product,,Mystery box,Mystery box,,37,37,24,EUR,23,,0,1,1,1,3514,1057,Slabé,8,Vypredané,Skladom,visible
384/STR,MYSTERY BOX BLUE,,product,,Mystery box,Mystery box,,37,37,24,EUR,23,,0,1,1,1,3514,1057,Stredne silné,3,Vypredané,Skladom,visible
387/JE,MYSTERY BOX RED,,product,,Mystery box,Mystery box,,55,55,37,EUR,23,,0,1,1,1,3273,1464,Je mi to jedno,6,Vypredané,Skladom,visible
387/NAJ,MYSTERY BOX RED,,product,,Mystery box,Mystery box,,55,55,37,EUR,23,,0,1,1,1,3273,1464,Najsilnejšie,3,Vypredané,Skladom,visible
387/SLA,MYSTERY BOX RED,,product,,Mystery box,Mystery box,,55,55,37,EUR,23,,0,1,1,1,3273,1464,Slabé,10,Vypredané,Skladom,visible
387/STR,MYSTERY BOX RED,,product,,Mystery box,Mystery box,,55,55,37,EUR,23,,0,1,1,1,3273,1464,Stredne silné,4,Vypredané,Skladom,visible
CA4,CANNADIPS TANGY CITRUS CBD,CANNADIPS,product,5907625555029,Neviditelné produkty,Neviditelné produkty,,159,159,112,EUR,23,,1,0,0,0,2956,382,,0,Vypredané,Skladom,visible
FC5,FEDRS ICE COOL EVILBERRY HARD,Fedrs,product,5907761404847,Nikotínové vrecúška > Fedrs,Nikotínové vrecúška > Fedrs,Nikotínové vrecúška > PODĽA SILY > Stredne silné,53,53,331,EUR,23,,1,1,1,1,3755,162,,1,Vypredané,Skladom,visible
KF20,KURWA FATALITY TROPICAL COCKTAIL,Kurwa,product,4779053620393,Neviditelné produkty,Neviditelné produkty,,49,49,27,EUR,23,,1,0,0,0,449,178,,0,Vypredané,Skladom,hidden
KF11,KURWA FATALITY ENERGY BUBBLE GUM,Kurwa,product,4779053620409,Neviditelné produkty,Neviditelné produkty,,49,49,222,EUR,23,,1,1,1,1,5469,218,,0,Vypredané,Skladom,hidden
FC4,FEDRS ICE COOL ENERGY HARD,Fedrs,product,5907761404823,Nikotínové vrecúška > Fedrs,Nikotínové vrecúška > Fedrs,Nikotínové vrecúška > PODĽA SILY > Stredne silné,53,53,331,EUR,23,,1,0,0,0,3755,162,,10,Vypredané,Skladom,visible
KL8,KILLA COLD MINT XXL,Killa,product,5744000760933,Neviditelné produkty,Neviditelné produkty,,46,46,217,EUR,23,5,1,0,0,0,5283,198,,0,Vypredané,Skladom,hidden
PB11,PABLO ICE COLD XXL,Pablo,product,5744000760940,Nikotínové vrecúška > Pablo,Nikotínové vrecúška > Pablo,Nikotínové vrecúška > PODĽA SILY > Stredne silné,53,6,277,EUR,23,5,0,0,0,0,4774,206,,163,Vypredané,Skladom,visible
KF14,KURWA FATALITY GRAPEFRUIT LEMONILY VANILLA,Kurwa,product,4779053620171,Neviditelné produkty,Neviditelné produkty,,49,49,288,EUR,23,,1,0,0,0,4122,164,,0,Vypredané,Skladom,hidden
KF12,KURWA FATALITY ENERGY COLA,Kurwa,product,4779053620386,Neviditelné produkty,Neviditelné produkty,,49,49,222,EUR,23,,0,0,0,0,5469,218,,0,Vypredané,Skladom,hidden
FC12,FEDRS ICE COOL RASPBERRY HARD,Fedrs,product,5907761404830,Nikotínové vrecúška > Fedrs,Nikotínové vrecúška > Fedrs,Nikotínové vrecúška > PODĽA SILY > Stredne silné,53,53,331,EUR,23,,1,0,0,0,3755,162,,9,Vypredané,Skladom,visible
LS1,LIPS ORIGINAL,LIPS,product,5744000760162,Nikotínové vrecúška > Lips,Nikotínové vrecúška > PODĽA SILY > Slabé,Nikotínové vrecúška > Lips,42,42,283,EUR,23,3,0,0,0,0,3262,111,,7,Vypredané,Skladom,visible
KF5,KURWA FATALITY BRUTAL ENERGY DRINK,Kurwa,product,4779053620201,Neviditelné produkty,Neviditelné produkty,,49,49,269,EUR,23,,1,1,1,1,451,179,,0,Vypredané,Skladom,hidden
KC4,KURWA COLLECTION PINACOLADA MANGO,Kurwa,product,4779053621284,Nikotínové vrecúška > Kurwa,Nikotínové vrecúška > Kurwa,,46,46,246,EUR,23,,1,0,0,0,4652,174,,24,Vypredané,Skladom,visible
477,Nordic Spirit Mocha,,product,,,Nikotínové vrecúška > PODĽA SILY > Slabé,,48,48,384,EUR,23,,1,0,0,0,20,78,,0,Vypredané,Skladom,visible
480,NORDIC SPIRIT SPEARMINT EXTRA STRONG,,product,,,Nikotínové vrecúška > PODĽA SILY > Slabé,,48,48,384,EUR,23,,1,0,0,0,20,78,,0,Vypredané,Skladom,visible
483,NORDIC SPIRIT WATERMELON,,product,,,Nikotínové vrecúška > PODĽA SILY > Slabé,,48,48,384,EUR,23,,1,0,0,0,20,78,,0,Vypredané,Skladom,visible
77P,77 PEACH & MINT DARK,77 pouches,product,5905591986069,Nikotínové vrecúška > 77 pouches,Nikotínové vrecúška > 77 pouches,Nikotínové vrecúška > PODĽA SILY > Slabé,49,49,122,EUR,23,5,1,1,1,1,751,299,,0,Vypredané,Skladom,visible
FP1,FLOWER POWER CLASSIC,Fedrs,product,5907136007857,Neviditelné produkty,Neviditelné produkty,,99,99,721,EUR,23,,1,1,1,1,2717,219,,0,Vypredané,Skladom,visible
FP3,FLOWER POWER PEACH,Fedrs,product,5907136007871,Neviditelné produkty,Neviditelné produkty,,99,99,733,EUR,23,,0,1,1,1,1169,79,,0,Vypredané,Skladom,visible
FP4,FLOWER POWER STRAWBERRY,Fedrs,product,5907136007864,Neviditelné produkty,Neviditelné produkty,,99,99,733,EUR,23,,1,1,1,1,2596,209,,0,Vypredané,Skladom,visible
77B,77 BLACK CURRANT,77 pouches,product,5905591987820,Nikotínové vrecúška > 77 pouches,Nikotínové vrecúška > 77 pouches,Nikotínové vrecúška > PODĽA SILY > Slabé,49,49,122,EUR,23,,1,0,0,0,751,299,,0,Vypredané,Skladom,visible
DP2,DOPE FREEZE STRONG EDITION,Dope,product,8594203200425,Nikotínové vrecúška > DOPE,Nikotínové vrecúška > PODĽA SILY > Slabé,Nikotínové vrecúška > DOPE,43,43,325,EUR,23,2,1,1,1,1,2442,86,,5,Vypredané,Skladom,visible
DP3,DOPE ICE COOL XTRA STRONG,Dope,product,8594203200043,Nikotínové vrecúška > DOPE,Nikotínové vrecúška > PODĽA SILY > Slabé,Nikotínové vrecúška > DOPE,43,43,325,EUR,23,2,1,1,1,1,2442,86,,0,Vypredané,Skladom,hidden
DP4,DOPE ICE MANGO XTRA STRONG,Dope,product,8594203200074,Nikotínové vrecúška > DOPE,Nikotínové vrecúška > PODĽA SILY > Slabé,Nikotínové vrecúška > DOPE,43,43,325,EUR,23,2,1,1,1,1,2442,86,,0,Vypredané,Skladom,visible
DP5,DOPE LIME SMASH CRAZY STRONG,Dope,product,8594203200371,Nikotínové vrecúška > DOPE,Nikotínové vrecúška > PODĽA SILY > Slabé,Nikotínové vrecúška > DOPE,43,43,325,EUR,23,2,1,1,1,1,2442,86,,0,Vypredané,Skladom,hidden
KL15,KILLA PINEAPPLE,Killa,product,5744000760865,Nikotínové vrecúška > Killa,Nikotínové vrecúška > Killa,,465,465,311,EUR,23,3,1,1,1,1,3312,125,,9,Vypredané,Skladom,visible
KL3,KILLA BLUEBERRY,Killa,product,5744000760094,Nikotínové vrecúška > Killa,Nikotínové vrecúška > Killa,Nikotínové vrecúška > PODĽA SILY > Slabé,465,465,325,EUR,23,3,0,1,1,1,3011,114,,27,Vypredané,Skladom,visible
CN4,CANDYS ICE CHERRY GUM,Candys,product,4779053620478,Neviditelné produkty,Neviditelné produkty,,52,52,265,EUR,23,,1,1,1,1,4904,208,,0,Vypredané,Skladom,hidden
CN3,CANDYS ICE CANDY,Candys,product,4779053620485,Neviditelné produkty,Neviditelné produkty,,52,52,265,EUR,23,,1,1,1,1,4904,208,,0,Vypredané,Skladom,hidden
CN2,CANDYS GUMMY BEARS,Candys,product,4779053620508,Neviditelné produkty,Neviditelné produkty,,52,52,222,EUR,23,,1,1,1,1,5731,243,,0,Vypredané,Skladom,visible
CN1,CANDYS COLA MARMALADE,Candys,product,4779053620515,Neviditelné produkty,Neviditelné produkty,,52,52,265,EUR,23,,1,1,1,1,4904,208,,0,Vypredané,Skladom,hidden
CN6,CANDYS WATERMELON CANDY,Candys,product,4779053620492,Neviditelné produkty,Neviditelné produkty,,52,52,222,EUR,23,,1,0,0,0,5731,243,,0,Vypredané,Skladom,visible
CN5,CANDYS STRAWBERRY VANILLA CANDY,Candys,product,4779053620522,Neviditelné produkty,Neviditelné produkty,,52,52,222,EUR,23,,1,1,1,1,5731,243,,0,Vypredané,Skladom,visible
KF15,KURWA FATALITY CHERRY CRANBERRY SHAKE,Kurwa,product,4779053620157,Neviditelné produkty,Neviditelné produkty,,49,49,272,EUR,23,,1,1,1,1,4449,177,,0,Vypredané,Skladom,hidden
KF13,KURWA FATALITY GRAPE MINT WAVES,Kurwa,product,4779053620195,Neviditelné produkty,Neviditelné produkty,,49,49,288,EUR,23,,1,1,1,1,4122,164,,0,Vypredané,Skladom,hidden
KF18,KURWA FATALITY PINK ROSE LEMONADE,Kurwa,product,4779053620164,Neviditelné produkty,Neviditelné produkty,,49,49,288,EUR,23,,1,1,1,1,4122,164,,0,Vypredané,Skladom,hidden
KF8,KURWA FATALITY CACTUS APPLE,Kurwa,product,4779053620188,Neviditelné produkty,Neviditelné produkty,,49,49,222,EUR,23,,1,1,1,1,5469,218,,0,Vypredané,Skladom,hidden
KF4,KURWA FATALITY BRUTAL BLUEBERRY,Kurwa,product,4779053620102,Neviditelné produkty,Neviditelné produkty,,49,49,222,EUR,23,,1,1,1,1,5469,218,,0,Vypredané,Skladom,hidden
FC8,FEDRS ICE COOL MANGO HARD,Fedrs,product,5907761404878,Nikotínové vrecúška > Fedrs,Nikotínové vrecúška > Fedrs,Nikotínové vrecúška > PODĽA SILY > Stredne silné,53,53,331,EUR,23,,1,0,0,0,3755,162,,9,Vypredané,Skladom,visible
NS3,NOIS EXTREME,Nois,product,4742024720033,Nikotínové vrecúška > NOIS,Nikotínové vrecúška > PODĽA SILY > Najsilnejšie,Nikotínové vrecúška > NOIS,42,42,287,EUR,23,,1,1,1,1,3167,108,,7,Vypredané,Skladom,visible
NS1,NOIS BLACKCURRANT,Nois,product,4742024720071,Nikotínové vrecúška > NOIS,Nikotínové vrecúška > PODĽA SILY > Slabé,Nikotínové vrecúška > NOIS,42,42,287,EUR,23,,1,1,1,1,3167,108,,7,Vypredané,Skladom,visible
NS4,NOIS MANGO MINT,Nois,product,4742024720064,Nikotínové vrecúška > NOIS,Nikotínové vrecúška > PODĽA SILY > Slabé,Nikotínové vrecúška > NOIS,42,42,287,EUR,23,,1,1,1,1,3167,108,,15,Vypredané,Skladom,visible
RB2,RABBIT ICE HEMP X-Strong,,product,634240204111,Neviditelné produkty,Neviditelné produkty,,49,49,192,EUR,23,,1,1,1,1,6082,242,,0,Vypredané,Skladom,hidden
804,Poistenie zásielky,,service,55884462154,Naše produkty,Naše produkty,,8,8,1,EUR,23,,0,0,0,0,9875,64,,104,Vypredané,Skladom,visible
806,Oznámenie o stave objednávky (sms),,service,2156987457,Naše produkty,Naše produkty,,5,5,1,EUR,23,,0,0,0,0,80,33,,9444,Vypredané,Skladom,visible
837,Darčekový poukaz v hodnote 35€,,product,,Neviditelné produkty,Neviditelné produkty,,35,35,20,EUR,23,,1,1,1,1,4286,122,,0,Vypredané,Skladom,hidden
843,Darčekový poukaz v hodnote 50€,,product,,Neviditelné produkty,Neviditelné produkty,,50,50,35,EUR,23,,1,1,1,1,30,1219,,1,Vypredané,Skladom,hidden
846,Darčekový poukaz v hodnote 100€,,product,,Neviditelné produkty,Neviditelné produkty,,100,100,70,EUR,23,,1,1,1,1,30,2439,,1,Vypredané,Skladom,hidden
849,Darčekový poukaz v hodnote 20€,,product,,Neviditelné produkty,Neviditelné produkty,,20,20,13,EUR,23,,1,1,1,1,35,569,,1,Vypredané,Skladom,hidden
EKR4,REYMONT KURWA BLUERAZZ,Kurwa,product,4779053620782,Neviditelné produkty,Neviditelné produkty,,69,69,418,EUR,23,5,1,1,1,1,3942,221,,0,Vypredané,Skladom,hidden
ERK15,REYMONT KURWA PINK LEMONADE,Kurwa,product,4779053620638,Neviditelné produkty,Neviditelné produkty,,69,69,418,EUR,23,5,1,1,1,1,3942,221,,0,Vypredané,Skladom,hidden
ERK11,REYMONT KURWA PASSION FRUIT,Kurwa,product,4779053620577,Neviditelné produkty,Neviditelné produkty,,69,69,418,EUR,23,5,1,1,1,1,3942,221,,0,Vypredané,Skladom,hidden
ERK12,REYMONT KURWA MIXED BERRY,Kurwa,product,4779053620584,Neviditelné produkty,Neviditelné produkty,,69,69,418,EUR,23,5,1,1,1,1,3942,221,,0,Vypredané,Skladom,hidden
ERK10,REYMONT KURWA KIWI STRAWBERRY,Kurwa,product,4779053620621,Neviditelné produkty,Neviditelné produkty,,69,69,418,EUR,23,5,1,1,1,1,3942,221,,0,Vypredané,Skladom,hidden
ERK8,REYMONT KURWA GRAPE ICE,Kurwa,product,4779053620652,Neviditelné produkty,Neviditelné produkty,,69,69,418,EUR,23,5,1,1,1,1,3942,221,,0,Vypredané,Skladom,hidden
KL9,KILLA DOUBLE DUTCH COLD,Killa,product,5744000760995,Neviditelné produkty,Neviditelné produkty,,39,39,263,EUR,23,3,1,1,1,1,3256,103,,0,Vypredané,Skladom,hidden
KF19,KURWA FATALITY STRAWBERRY CAKE,Kurwa,product,4779053620454,Neviditelné produkty,Neviditelné produkty,,49,49,27,EUR,23,,1,1,1,1,449,178,,0,Vypredané,Skladom,hidden
KF1,KURWA FATALITY APPLE BUBBLEGUM,Kurwa,product,4779053620430,Neviditelné produkty,Neviditelné produkty,,49,49,272,EUR,23,,1,1,1,1,4449,177,,0,Vypredané,Skladom,hidden
KF3,KURWA FATALITY BLACK FRUIT MINT,Kurwa,product,4779053620447,Neviditelné produkty,Neviditelné produkty,,49,49,272,EUR,23,,1,1,1,1,4449,177,,0,Vypredané,Skladom,hidden
KF10,KURWA FATALITY COLA WHISKY,Kurwa,product,4779053620423,Neviditelné produkty,Neviditelné produkty,,49,49,269,EUR,23,,1,1,1,1,451,179,,0,Vypredané,Skladom,hidden
ERK4,REYMONT KURWA COLA ICE,Kurwa,product,4779053620645,Neviditelné produkty,Neviditelné produkty,,69,69,418,EUR,23,5,1,1,1,1,3942,221,,0,Vypredané,Skladom,hidden
EKL2,KILLA SWITCH ENERGY DRINK,Killa,product,6937105426906,E-cigarety > KILLA SWITCH,E-cigarety > KILLA SWITCH,,7,7,449,EUR,23,5,1,1,1,1,3586,204,,0,Vypredané,Skladom,visible
EKL03,KILLA SWITCH LUSH ICE,Killa,product,6937105426845,E-cigarety > KILLA SWITCH,E-cigarety > KILLA SWITCH,,7,7,449,EUR,23,5,1,1,1,1,3586,204,,0,Vypredané,Skladom,visible
