code,name,manufacturer,itemType,ean,defaultCategory,categoryText,categoryText2,price,standardPrice,purchasePrice,currency,percentVat,maxDiscount,applyDiscountCoupon,applyLoyaltyDiscount,applyQuantityDiscount,applyVolumeDiscount,relativeMargin,absoluteMargin,variant_Sila_vrecusok_v_boxe_,stock,availabilityOutOfStock,availabilityInStock,productVisibility
SI5,-80 °C X-tremely Black White Dry Slim 43 mg/g,Siberia,product,7350115291798,Snus,Snus > Siberia,,5.5,5.5,***,EUR,23,3,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1248,Big Mouth Salt  Chill Berry,,product,,Neviditelne produkty,Neviditelne produkty,,4.3,4.3,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
XT1,EXTREME ARCTIC MINT,EXTREME,product,5744000760216,,Nikotinove vrecuska > PODlA SILY > Slabe,,3.7,3.7,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
XT4,EXTREME NEURON FREEZE,EXTREME,product,5744000760247,,Nikotinove vrecuska > PODlA SILY > Stredne silne,,3.7,3.7,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
XT2,EXTREME FRUIT VIBES,EXTREME,product,7350113770677,,Nikotinove vrecuska > PODlA SILY > Slabe,,3.7,3.7,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
XT3,EXTREME LIME PARADISE,EXTREME,product,5744000760230,,Nikotinove vrecuska > PODlA SILY > Slabe,,3.7,3.7,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
NT1,Nasty Juice Air Fix  Menthol,,product,5060656824509,,E-cigarety,,6.9,6.9,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
NT2,Nasty Juice Air Fix - Strawberry,,product,,,E-cigarety,,6.9,6.9,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
NT3,Nasty Juice Fix Double Apple,,product,,,E-cigarety,,5.5,5.5,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
NT4,Nasty Juice Fix Menthol,,product,5060656823700,,E-cigarety,,5.5,5.5,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
KL17,KILLA WATERMELON,Killa,product,5744000760148,Nikotinove vrecuska > Killa,Nikotinove vrecuska > Killa,Nikotinove vrecuska > PODlA SILY > Slabe,4.65,4.65,***,EUR,23,3,1,1,1,1,***,***,,7,Vypredane,Skladom,visible
CB2,CUBA NINJA ENERGY,CUBA,product,5904717759112,Nikotinove vrecuska > CUBA,Nikotinove vrecuska > CUBA,,4.8,4.8,***,EUR,23,,1,1,1,1,***,***,,9,Vypredane,Skladom,visible
CB1,CUBA NINJA BUBBLE GUM,CUBA,product,5904717759099,Nikotinove vrecuska > CUBA,Nikotinove vrecuska > PODlA SILY > Stredne silne,Nikotinove vrecuska > CUBA,4.7,4.7,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
CB3,CUBA NINJA LIQUORICE,CUBA,product,5904717759105,Nikotinove vrecuska > CUBA,Nikotinove vrecuska > PODlA SILY > Stredne silne,Nikotinove vrecuska > CUBA,4.8,4.8,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
PB6,PABLO EXCLUSIVE GRAPE ICE,Pablo,product,5744000761626,Nikotinove vrecuska > Pablo,Nikotinove vrecuska > Pablo,Nikotinove vrecuska > PODlA SILY > Najsilnejsie,5.0,5.0,***,EUR,23,,1,1,1,1,***,***,,48,Vypredane,Skladom,visible
DL1,Dinner Lady Vape Pen - Bubblegum Ice,,product,,,E-cigarety,,5.9,5.9,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
EKC1,KURWA COLLECTION APPLE PEAR STRAWBERRY,Kurwa,product,4779053620829,Neviditelne produkty,Neviditelne produkty,,45937.0,45937.0,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
EKC2,KURWA COLLECTION BLACK CURRANT,Kurwa,product,4779053621024,E-cigarety > KURWA COLLECTION,E-cigarety > KURWA COLLECTION,,7.5,7.5,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
EKC3,KURWA COLLECTION BLUEBERRY BUBBLEGUM,Kurwa,product,4779053620997,E-cigarety > KURWA COLLECTION,E-cigarety > KURWA COLLECTION,,7.5,7.5,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
EKC4,KURWA COLLECTION BLUEBERRY CRANBERRY CHERRY,Kurwa,product,4779053620980,E-cigarety > KURWA COLLECTION,E-cigarety > KURWA COLLECTION,,7.5,7.5,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
EKC6,KURWA COLLECTION GUMMY BEARS,Kurwa,product,4779053620959,E-cigarety > KURWA COLLECTION,E-cigarety > KURWA COLLECTION,,7.5,7.5,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
EKC7,KURWA COLLECTION LEMON AND LIME,Kurwa,product,4779053620935,Neviditelne produkty,Neviditelne produkty,,45937.0,45937.0,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
EKC9,KURWA COLLECTION SOUR APPLE,Kurwa,product,4779053620904,Neviditelne produkty,Neviditelne produkty,,45937.0,45937.0,***,EUR,23,5,0,1,1,1,***,***,,0,Vypredane,Skladom,hidden
EKC10,KURWA COLLECTION TIGER BLOOD,Kurwa,product,4779053620898,E-cigarety > KURWA COLLECTION,E-cigarety > KURWA COLLECTION,,7.5,7.5,***,EUR,23,5,1,1,1,1,***,***,,3,Vypredane,Skladom,visible
EKC11,KURWA COLLECTION VIMTO CRUSH,Kurwa,product,4779053620881,Neviditelne produkty,Neviditelne produkty,,45937.0,45937.0,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
KK3,KURWA KILLER BUBBLEGUM,Kurwa,product,4779053621031,Neviditelne produkty,Neviditelne produkty,,5.2,5.2,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
KK4,KURWA KILLER KIWI STRAWBERRY,Kurwa,product,4779053621048,Neviditelne produkty,Neviditelne produkty,,5.2,5.2,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
KK2,KURWA KILLER BLUEBERRY MARMALADE,Kurwa,product,4779053621062,Nikotinove vrecuska,Nikotinove vrecuska > Kurwa,Nikotinove vrecuska > PODlA SILY > Najsilnejsie,5.2,5.2,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
KK1,KURWA KILLER BLACKCURRANT,Kurwa,product,4779053621055,Neviditelne produkty,Neviditelne produkty,,5.2,5.2,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
SP4,STRIPE SUGAR PINE,Fedrs,product,,Neviditelne produkty,Neviditelne produkty,,4.8,4.8,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
SP1,STRIPE BERRY MADNESS,Fedrs,product,5907761403512,Neviditelne produkty,Neviditelne produkty,,4.8,4.8,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
FB3,STRIPE FROSTY VINE,Fedrs,product,,Neviditelne produkty,Neviditelne produkty,,4.8,4.8,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
FP2,STRIPE CHERRYFIED,Fedrs,product,5907761403505,Neviditelne produkty,Neviditelne produkty,,4.8,4.8,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
SA1,SIBERIA ALL WHITE REGULAR,Siberia,product,7350115297325,Neviditelne produkty,Neviditelne produkty,,5.6,5.6,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
SA2,SIBERIA ALL WHITE SLIM,Siberia,product,7350115297288,Neviditelne produkty,Neviditelne produkty,,5.7,5.7,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
SA3,SIBERIA ALL WHITE SUPER SLIM,Siberia,product,7350115298551,Neviditelne produkty,Neviditelne produkty,,5.5,5.5,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
TH1,THUNDER APPLE MINT SLIM,THUNDER,product,7311250072673,Nikotinove vrecuska > THUNDER,Nikotinove vrecuska > PODlA SILY > Stredne silne,Nikotinove vrecuska > THUNDER,4.99,4.99,***,EUR,23,3,1,1,1,1,***,***,,9,Vypredane,Skladom,visible
EKC8,KURWA COLLECTION MANGO PASSION FRUIT,Kurwa,product,4779053620928,E-cigarety > KURWA COLLECTION,E-cigarety > KURWA COLLECTION,,7.5,7.5,***,EUR,23,5,1,1,1,1,***,***,,2,Vypredane,Skladom,visible
VL2,VELO BERRY FROST MINI,Velo,product,8595682141001,Neviditelne produkty,Neviditelne produkty,,5.5,5.5,***,EUR,23,2,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
VL8,VELO POLAR MINT MINI,Velo,product,8595682140998,Neviditelne produkty,Neviditelne produkty,,5.5,5.5,***,EUR,23,2,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
NE3,NEO™ STICKS ARCTIC CLICK,NEO™,product,,Neviditelne produkty,Neviditelne produkty,,3.7,3.7,***,EUR,23,1,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
NE4,NEO™ STICKS BRIGHT TOBACCO,NEO™,product,,GLO ™ > NEO ™ - náplne,GLO ™ >> NEO ™ - náplne,GLO ™ >> Akčne baličky,3.7,3.7,***,EUR,23,1,1,1,1,1,***,***,,8,Vypredane,Skladom,visible
NE5,NEO™ STICKS DEEP TOBACCO,NEO™,product,,GLO ™ > NEO ™ - náplne,GLO ™ >> NEO ™ - náplne,GLO ™ >> Akčne baličky,3.7,3.7,***,EUR,23,1,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
NE6,NEO™ STICKS GOLD TOBACCO,NEO™,product,,GLO ™ > NEO ™ - náplne,GLO ™ >> NEO ™ - náplne,GLO ™ >> Akčne baličky,3.7,3.7,***,EUR,23,1,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
NE7,NEO™ STICKS GREEN CLICK,NEO™,product,,Neviditelne produkty,Neviditelne produkty,,3.7,3.7,***,EUR,23,1,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
NE8,NEO™ STICKS PURPLE CLICK,NEO™,product,,Neviditelne produkty,Neviditelne produkty,,3.7,3.7,***,EUR,23,1,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
NE9,NEO™ STICKS SCARLET CLICK,NEO™,product,,Neviditelne produkty,Neviditelne produkty,,3.7,3.7,***,EUR,23,1,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
NE10,NEO™ STICKS SUNNY CLICK,NEO™,product,,Neviditelne produkty,Neviditelne produkty,,3.7,3.7,***,EUR,23,1,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
NE2,NEO™ PEARL TOBACCO,NEO™,product,,Neviditelne produkty,Neviditelne produkty,,3.7,3.7,***,EUR,23,1,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
NE1,NEO™ BRONZE TOBACCO,NEO™,product,,Neviditelne produkty,Neviditelne produkty,,3.7,3.7,***,EUR,23,1,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
SI2,-80 °C  Degrees Blue Regular 30mg/g,Siberia,product,7350049926490,Snus > Siberia,Snus > Siberia,,5.5,5.3,***,EUR,23,3,1,1,1,1,***,***,,7,Vypredane,Skladom,visible
OD1,ODENS Cold Extreme Dry,ODENS,product,7350049926520,Snus > ODENS,Snus > ODENS,,4.0,4.0,***,EUR,23,3,1,1,1,1,***,***,,5,Vypredane,Skladom,visible
SI1,- 80 °C White Dry MINI Portion,Siberia,product,7350115295772,Snus > Siberia,Snus > Siberia,,4.9,4.8,***,EUR,23,3,1,1,1,1,***,***,,5,Vypredane,Skladom,visible
KL18,KILLA WHITE COFFEE,Killa,product,5744000761817,Neviditelne produkty,Neviditelne produkty,,3.9,3.9,***,EUR,23,3,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
PB8,PABLO EXCLUSIVE MOCCA,Pablo,product,5744000761916,Neviditelne produkty,Neviditelne produkty,,4.5,4.5,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
EKC5,KURWA COLLECTION GRAPE DRANK,Kurwa,product,4779053620966,E-cigarety > KURWA COLLECTION,E-cigarety > KURWA COLLECTION,,7.5,7.5,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
CB4,CUBA NINJA PINACOLADA,CUBA,product,5904717759617,Nikotinove vrecuska,Nikotinove vrecuska > CUBA,,4.8,4.8,***,EUR,23,,1,1,1,1,***,***,,11,Vypredane,Skladom,visible
KL13,KILLA MINI MANGO ICE,Killa,product,5744000761701,Nikotinove vrecuska > Killa,Nikotinove vrecuska > Killa,Nikotinove vrecuska > PODlA SILY > Slabe,4.65,4.65,***,EUR,23,3,1,1,1,1,***,***,,3,Vypredane,Skladom,visible
KL14,KILLA MINI MOCCA,Killa,product,5744000761848,Neviditelne produkty,Neviditelne produkty,,3.9,3.9,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1795,VUSE GO 800 BLUE RASPBERRY,Vuse,product,8595682148383,E-cigarety > VUSE > VUSE GO BOX 1000/800,E-cigarety > VUSE > VUSE GO BOX 1000/800,,7.9,7.9,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
VS01,VUSE GO BOX 1000 GRAPE ICE,Vuse,product,8595682148994,E-cigarety > VUSE > VUSE GO BOX 1000/800,E-cigarety > VUSE > VUSE GO BOX 1000/800,,8.4,8.4,***,EUR,23,,1,1,1,1,***,***,,4,Vypredane,Skladom,visible
VSO2,VUSE GO 800 BERRY BLEND,Vuse,product,8595682148390,E-cigarety > VUSE > VUSE GO BOX 1000/800,E-cigarety > VUSE > VUSE GO BOX 1000/800,,7.9,7.9,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1804,VUSE GO BOX 1000 PEPPERMINT ICE,Vuse,product,8595682148987,E-cigarety > VUSE > VUSE GO BOX 1000/800,E-cigarety > VUSE > VUSE GO BOX 1000/800,,8.4,8.4,***,EUR,23,,1,1,1,1,***,***,,5,Vypredane,Skladom,visible
1807,VUSE GO BOX 1000 GREEN APPLE,Vuse,product,8595682148970,E-cigarety > VUSE > VUSE GO BOX 1000/800,E-cigarety > VUSE > VUSE GO BOX 1000/800,,8.4,8.4,***,EUR,23,,1,1,1,1,***,***,,2,Vypredane,Skladom,visible
1810,VUSE GO BOX 1000 STRAWBERRY KIWI,Vuse,product,8595682148949,E-cigarety > VUSE > VUSE GO BOX 1000/800,E-cigarety > VUSE > VUSE GO BOX 1000/800,,8.4,8.4,***,EUR,23,,1,1,1,1,***,***,,5,Vypredane,Skladom,visible
TH3,THUNDER CITRUS,THUNDER,product,7311250072680,Nikotinove vrecuska > THUNDER,Nikotinove vrecuska > PODlA SILY > Slabe,Nikotinove vrecuska > THUNDER,4.99,4.99,***,EUR,23,3,1,1,1,1,***,***,,7,Vypredane,Skladom,visible
TH5,THUNDER DARK FROST,THUNDER,product,7311250072857,Nikotinove vrecuska > THUNDER,Nikotinove vrecuska > THUNDER,,4.99,4.99,***,EUR,23,3,1,1,1,1,***,***,,1,Vypredane,Skladom,visible
TH6,THUNDER DEEP FREEZE,THUNDER,product,7311250072840,Nikotinove vrecuska > THUNDER,Nikotinove vrecuska > PODlA SILY > Slabe,Nikotinove vrecuska > THUNDER,4.99,4.99,***,EUR,23,3,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
GAC,GLO™ HYPER X2 AIR,GLO™,product,,GLO ™,GLO ™,,25.0,25.0,***,EUR,23,,1,1,1,1,***,***,,2,Vypredane,Skladom,visible
1873,KURWA COLLECTION RASPBERRY STRAWBERRY,Kurwa,product,4779053620225,Nikotinove vrecuska > Kurwa,Nikotinove vrecuska > Kurwa,,4.6,4.6,***,EUR,23,,0,1,1,1,***,***,,5,Vypredane,Skladom,visible
KC8,KURWA COLLECTION STRAWBERRY GUM,Kurwa,product,4779053621260,Nikotinove vrecuska > Kurwa,Nikotinove vrecuska > Kurwa,,4.6,4.6,***,EUR,23,,1,1,1,1,***,***,,22,Vypredane,Skladom,visible
KC11,KURWA COLLECTION MANGO RASPBERRY,Kurwa,product,4779053621277,Nikotinove vrecuska > Kurwa,Nikotinove vrecuska > Kurwa,,4.6,4.6,***,EUR,23,,1,1,1,1,***,***,,18,Vypredane,Skladom,visible
KC6,KURWA COLLECTION KIWI APPLE,Kurwa,product,4779053621253,Nikotinove vrecuska > Kurwa,Nikotinove vrecuska > Kurwa,Nikotinove vrecuska > PODlA SILY > Slabe,4.6,4.6,***,EUR,23,,1,0,0,0,***,***,,10,Vypredane,Skladom,visible
ZP1,Odroda konope Banana Kush CBD,,product,,Neviditelne produkty,Neviditelne produkty,,6.3,6.3,***,EUR,23,3,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
ZP2,Odroda konope Blueberry Haze CBD,,product,,Neviditelne produkty,Neviditelne produkty,,6.3,6.3,***,EUR,23,3,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
ZP3,Odroda konope Cannabubble CBD,,product,,Neviditelne produkty,Neviditelne produkty,,6.3,6.3,***,EUR,23,3,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
ZP4,Odroda konope White Widow CBD,,product,,Neviditelne produkty,Neviditelne produkty,,6.3,6.3,***,EUR,23,3,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
KY1,Konopne chipsy - Kush,,product,8437018049028,Neviditelne produkty,Neviditelne produkty,,3.9,3.9,***,EUR,23,3,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
KY2,Konopne chipsy – Amnesia Haze,,product,,Neviditelne produkty,Neviditelne produkty,,3.9,3.9,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
PD1,Plastová drtička klasik,,product,3661075159726,Neviditelne produkty,Neviditelne produkty,,3.9,3.9,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
BD1,Dlhe papieriky + filtre King Size,THE BULLDOG,product,8716722010242,Neviditelne produkty,Neviditelne produkty,,1.8,1.3,***,EUR,23,,0,1,1,1,***,***,,0,Vypredane,Skladom,visible
BD2,Dlhe papieriky King Size,THE BULLDOG,product,8716722010037,Neviditelne produkty,Neviditelne produkty,,1.3,1.3,***,EUR,23,,0,1,1,1,***,***,,0,Vypredane,Skladom,visible
KBL1,KURWA BUBBLE GUM BRUTAL,Kurwa,product,5999569530200,Neviditelne produkty,Neviditelne produkty,,5.3,5.3,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1930,White Fox,,product,,Nikotinove vrecuska,Nikotinove vrecuska,,0.0,,***,EUR,23,,1,1,1,1,***,***,,0,,,visible
WF1,WHITE FOX,White Fox,product,7350049929798,Nikotinove vrecuska > White Fox,Nikotinove vrecuska > White Fox,,5.2,5.2,***,EUR,23,3,1,1,1,1,***,***,,20,Vypredane,Skladom,visible
WF3,WHITE FOX CHARGE,White Fox,product,7350049929880,Nikotinove vrecuska > White Fox,Nikotinove vrecuska > White Fox,,5.2,5.2,***,EUR,23,3,1,1,1,1,***,***,,7,Vypredane,Skladom,visible
WF2,WHITE FOX DOUBLE MINT,White Fox,product,7350049929828,Nikotinove vrecuska > White Fox,Nikotinove vrecuska > White Fox,,5.2,5.2,***,EUR,23,3,1,1,1,1,***,***,,7,Vypredane,Skladom,visible
WF4,WHITE FOX PEPPERED MINT,White Fox,product,7350115291996,Nikotinove vrecuska > White Fox,Nikotinove vrecuska > PODlA SILY > Slabe,Nikotinove vrecuska > White Fox,5.2,5.2,***,EUR,23,3,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
ZY1,ZYN COOL MINT,Zyn,product,5704420043184,Nikotinove vrecuska > ZYN,Nikotinove vrecuska > PODlA SILY > Slabe,Nikotinove vrecuska > ZYN,4.5,4.5,***,EUR,23,,0,1,1,1,***,***,,0,Vypredane,Skladom,visible
1963,SIBERIA ALL WHITE ULTRA SLIM PORTION,Siberia,product,7340212601064,Neviditelne produkty,Neviditelne produkty,,5.5,5.5,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
GAZ,GLO™ HYPER X2 AIR,GLO™,product,,GLO ™,GLO ™,,25.0,25.0,***,EUR,23,,1,1,1,1,***,***,,1,Vypredane,Skladom,visible
GAR,GLO™ HYPER X2 AIR,GLO™,product,,GLO ™,GLO ™,,25.0,25.0,***,EUR,23,,1,1,1,1,***,***,,3,Vypredane,Skladom,visible
GAF,GLO™ HYPER X2 AIR,GLO™,product,59489436,GLO ™,GLO ™,,25.0,25.0,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
GAMZ,GLO™ HYPER X2 AIR,GLO™,product,,GLO ™,GLO ™,,25.0,25.0,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
VK1,VIKA FROZEN MINT,Vika,product,7350120030054,Nikotinove vrecuska > VIKA,Nikotinove vrecuska > PODlA SILY > Stredne silne,Nikotinove vrecuska > VIKA,4.2,4.2,***,EUR,23,3,1,1,1,1,***,***,,8,Vypredane,Skladom,visible
VK2,VIKA MOJITO,Vika,product,7350120030030,Nikotinove vrecuska > VIKA,Nikotinove vrecuska > PODlA SILY > Slabe,Nikotinove vrecuska > VIKA,4.2,4.2,***,EUR,23,,0,1,1,1,***,***,,1,Vypredane,Skladom,visible
VK3,VIKA ICE COOL MINT,Vika,product,7350120030047,Nikotinove vrecuska > VIKA,Nikotinove vrecuska > PODlA SILY > Slabe,Nikotinove vrecuska > VIKA,4.2,4.2,***,EUR,23,,0,1,1,1,***,***,,8,Vypredane,Skladom,visible
VKT1,VIKA BLACK,Vika,product,7350120030160,Snus > VIKA,Snus > VIKA,,5.3,5.3,***,EUR,23,3,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
1996,VIKA STARLIGHT,Vika,product,7350120030023,Snus > VIKA,Snus > VIKA,,5.3,5.3,***,EUR,23,3,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
1999,VIKA SUPERMASSIVE,Vika,product,7350120030252,Snus > VIKA,Snus > VIKA,,5.3,5.3,***,EUR,23,3,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
VM1,VOOM APPLE ICE,Voom,product,735745549551,E-cigarety > VOOM,E-cigarety > VOOM > 20 mg/ml,,7.0,7.0,***,EUR,23,,1,1,1,1,***,***,,26,Vypredane,Skladom,visible
VM2,VOOM BLACK CURRANT LEMONADE,Voom,product,735745549605,E-cigarety > VOOM,E-cigarety > VOOM > 20 mg/ml,,7.0,7.0,***,EUR,23,,1,1,1,1,***,***,,19,Vypredane,Skladom,visible
VM10,VOOM PEACH ICE,Voom,product,735745549582,E-cigarety > VOOM,E-cigarety > VOOM > 20 mg/ml,,7.0,7.0,***,EUR,23,,1,1,1,1,***,***,,16,Vypredane,Skladom,visible
VM11,VOOM PINEAPPLE LEMON,Voom,product,735745549537,E-cigarety > VOOM,E-cigarety > VOOM > 20 mg/ml,,7.0,7.0,***,EUR,23,,1,1,1,1,***,***,,2,Vypredane,Skladom,visible
VM4,VOOM GRAPE ICE,Voom,product,735745549612,E-cigarety > VOOM,E-cigarety > VOOM > 20 mg/ml,,7.0,7.0,***,EUR,23,,1,1,1,1,***,***,,9,Vypredane,Skladom,visible
VM12,VOOM WATERMELON ICE,Voom,product,735745549780,E-cigarety > VOOM,E-cigarety > VOOM > 20 mg/ml,,6.9,6.9,***,EUR,23,,1,1,1,1,***,***,,17,Vypredane,Skladom,visible
VM3,VOOM BLUE RASPBERRY,Voom,product,735745549544,E-cigarety > VOOM,E-cigarety > VOOM > 20 mg/ml,,7.0,7.0,***,EUR,23,,1,1,1,1,***,***,,4,Vypredane,Skladom,visible
VM8,VOOM MIX BERRY,Voom,product,735745549568,E-cigarety > VOOM,E-cigarety > VOOM > 20 mg/ml,,7.0,7.0,***,EUR,23,,1,1,1,1,***,***,,27,Vypredane,Skladom,visible
VM5,VOOM LOVE 66,Voom,product,735745549599,E-cigarety > VOOM,E-cigarety > VOOM > 20 mg/ml,,7.0,7.0,***,EUR,23,,1,1,1,1,***,***,,28,Vypredane,Skladom,visible
VM6,VOOM MANGO ICE,Voom,product,735745549575,E-cigarety > VOOM,E-cigarety > VOOM > 20 mg/ml,,7.0,7.0,***,EUR,23,,1,1,1,1,***,***,,1,Vypredane,Skladom,visible
VM7,VOOM MINT TOBACCO,Voom,product,735745549766,E-cigarety > VOOM,E-cigarety > VOOM > 20 mg/ml,,7.0,7.0,***,EUR,23,,1,1,1,1,***,***,,18,Vypredane,Skladom,visible
VM9,VOOM ORANGE ICE,Voom,product,735745549629,E-cigarety > VOOM,E-cigarety > VOOM > 20 mg/ml,,7.0,7.0,***,EUR,23,,1,1,1,1,***,***,,15,Vypredane,Skladom,visible
2043,KILLA MINI BLUEBERRY,Killa,product,5744000761695,Neviditelne produkty,Neviditelne produkty,,3.9,3.9,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
KP1,KICKUP ORIGINAL,KICKUP,product,7350047855723,Energy vrecuska > Kickup,Energy vrecuska > Kickup,,5.5,5.5,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
KP2,KICKUP SOFT MINT,KICKUP,product,7350047855761,Energy vrecuska > Kickup,Energy vrecuska > Kickup,,5.5,5.5,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
KP3,KICKUP STRONG,KICKUP,product,7350047855846,Energy vrecuska > Kickup,Energy vrecuska > Kickup,,5.5,5.5,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
AS4,ASTRO ICE MINT,,product,8582000017018,Neviditelne produkty,Neviditelne produkty,,4.5,4.5,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
AS6,ASTRO COLA ICE,,product,8582000017056,Neviditelne produkty,Neviditelne produkty,,4.5,4.5,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
AS3,ASTRO ENERGY DRINK,,product,,Neviditelne produkty,Neviditelne produkty,,4.5,4.5,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
AS2,ASTRO BLUEBERRY,,product,8582000017032,Neviditelne produkty,Neviditelne produkty,,16.9,4.5,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
AS5,ASTRO WATERMELON,,product,8582000017049,Neviditelne produkty,Neviditelne produkty,,4.5,4.5,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
VM13,VOOM STRAWBERRY BANANA,Voom,product,735745548868,E-cigarety > VOOM,E-cigarety > VOOM > 10 mg/ml,,6.9,6.9,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
VM14,VOOM MINT,Voom,product,735745548851,E-cigarety > VOOM,E-cigarety > VOOM > 10 mg/ml,,7.0,7.0,***,EUR,23,,1,1,1,1,***,***,,16,Vypredane,Skladom,visible
VM15,VOOM WATERMELON ICE,Voom,product,735745548837,E-cigarety > VOOM,E-cigarety > VOOM > 10 mg/ml,,6.9,6.9,***,EUR,23,,1,1,1,1,***,***,,7,Vypredane,Skladom,visible
VM16,VOOM PASSION GRAPEFRUIT,Voom,product,735745548875,E-cigarety > VOOM,E-cigarety > VOOM > 10 mg/ml,,7.0,7.0,***,EUR,23,,1,1,1,1,***,***,,5,Vypredane,Skladom,visible
